window_size,window_seconds,file_name,learning_rate,gamma,lambda,threshold_method,tau,val_loss,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
10,50,tranad_processed_tensors_w10.pt,0.001,0.7,0.3,Val_Mean_2Std,0.9540436863899231,0.27016676031053066,0.0625,0.04411764705882353,0.05172413793103448,0.8183951884993399,0.1944946209903448,0.7662337662337663,0.25877192982456143,0.38688524590163936,0.7518608660379271,0.5820359326918769
10,50,tranad_processed_tensors_w10.pt,0.001,0.3,0.7,Val_Mean_2Std,0.9868636131286621,0.27016676031053066,0.061224489795918366,0.04411764705882353,0.05128205128205128,0.8122157840692386,0.18358237904607516,0.75625,0.26535087719298245,0.39285714285714285,0.7577552986512525,0.5963650401030747
10,50,tranad_processed_tensors_w10.pt,0.001,0.5,0.5,Val_Mean_2Std,0.9696232676506042,0.27016676031053066,0.061224489795918366,0.04411764705882353,0.05128205128205128,0.8166532198914478,0.19013999611406296,0.7707006369426752,0.26535087719298245,0.39477977161500816,0.7532121488692831,0.5877243237302971
15,75,tranad_processed_tensors_w15.pt,0.002,0.5,0.5,Val_Percentile_95,0.8998479276895521,0.23933703139690415,0.045454545454545456,0.029411764705882353,0.03571428571428571,0.8246112659527651,0.19139782868930794,0.7345679012345679,0.26096491228070173,0.3851132686084142,0.7490442145826994,0.5710201091817422
10,50,tranad_processed_tensors_w10.pt,0.001,0.7,0.3,Val_Percentile_95,0.972195371985435,0.27016676031053066,0.045454545454545456,0.029411764705882353,0.03571428571428571,0.8183951884993399,0.1944946209903448,0.7712418300653595,0.25877192982456143,0.38752052545155996,0.7518608660379271,0.5820359326918769
10,50,tranad_processed_tensors_w10.pt,0.001,0.3,0.7,Val_Percentile_95,1.023845726251602,0.27016676031053066,0.045454545454545456,0.029411764705882353,0.03571428571428571,0.8122157840692386,0.18358237904607516,0.7677419354838709,0.26096491228070173,0.3895253682487725,0.7577552986512525,0.5963650401030747
10,50,tranad_processed_tensors_w10.pt,0.001,0.5,0.5,Val_Percentile_95,1.0001201748847957,0.27016676031053066,0.045454545454545456,0.029411764705882353,0.03571428571428571,0.8166532198914478,0.19013999611406296,0.7662337662337663,0.25877192982456143,0.38688524590163936,0.7532121488692831,0.5877243237302971
15,75,tranad_processed_tensors_w15.pt,0.001,0.7,0.3,Val_Mean_2Std,0.9711198061704636,0.26603718168501345,0.043478260869565216,0.029411764705882353,0.03508771929824561,0.8021490391667889,0.18877398642696402,0.7647058823529411,0.2565789473684211,0.3842364532019704,0.7453858635026873,0.5799804126094253
5,25,tranad_processed_tensors_w5.pt,0.0005,0.7,0.3,Val_Mean_2Std,1.040745809674263,0.261551144000675,0.04,0.029411764705882353,0.03389830508474576,0.7968864603197888,0.18196366271509068,0.7375,0.25877192982456143,0.38311688311688313,0.7287369435148565,0.5396069824050539
5,25,tranad_processed_tensors_w5.pt,0.0005,0.5,0.5,Val_Mean_2Std,1.055566355586052,0.261551144000675,0.038461538461538464,0.029411764705882353,0.03333333333333333,0.7910371130996039,0.17900766355930678,0.7289156626506024,0.26535087719298245,0.3890675241157556,0.7297611804076665,0.5411406454614652
